"id","time","accX","accY","accZ","gyroX","gyroY","gyroZ","rot1","rot2","rot3","rot4","rot5","rot6","rot7","rot8","rot9"
"8","151736105652508","0","0","0","0","0","0","0.104711","-0.885647","0.452399","-0.000377644","-0.454935","-0.890524","0.994503","0.0930766","-0.0479711"
"8","151736120911297","9.98822","0.956879","-0.316116","0","0","0","0.104711","-0.885647","0.452399","-0.000377644","-0.454935","-0.890524","0.994503","0.0930766","-0.0479711"
"8","151736130188641","9.98822","0.956879","-0.316116","0","0","0","0.104711","-0.885647","0.452399","-0.000377644","-0.454935","-0.890524","0.994503","0.0930766","-0.0479711"
"8","151736146088299","10.0265","0.937714","-0.335281","0","0","0","0.104594","-0.861313","0.497192","0.00495881","-0.499476","-0.866313","0.994503","0.0930766","-0.0479711"
"8","151736162842449","10.0265","0.937714","-0.354431","0","0","0","0.101681","-0.858652","0.502373","0.0132929","-0.503773","-0.863734","0.994728","0.094503","-0.0398099"
"8","151736179657635","9.98822","0.937714","-0.296951","0","0","0","0.0995777","-0.839308","0.534459","0.0187776","-0.535448","-0.84436","0.994853","0.0941152","-0.0375585"
"8","151736196381268","9.96906","0.918564","-0.277802","0","0","0","0.0997657","-0.866264","0.489524","0.0145293","-0.490657","-0.871231","0.994905","0.0940315","-0.0363645"
"8","151736213226971","9.98822","0.918564","-0.296951","0","0","0","0.0995639","-0.866074","0.4899","0.0147099","-0.491012","-0.871029","0.994922","0.0939294","-0.0361472"
"8","151736230072674","10.0074","0.918564","-0.335281","0","0","0","0.0980324","-0.831953","0.546117","0.0214277","-0.546869","-0.836944","0.994952","0.0937497","-0.035784"
"8","151736246765789","10.0457","0.918564","-0.335281","0","0","0","0.0989463","-0.862746","0.495862","0.0157241","-0.496889","-0.867671","0.994968","0.0936498","-0.0355994"
"8","151736263611492","10.0265","0.937714","-0.316116","0","0","0","0.0984423","-0.850705","0.516343","0.0180809","-0.517249","-0.855644","0.994978","0.0935675","-0.0355376"
"8","151736280304608","10.0074","0.937714","-0.335281","0","0","0","0.0985518","-0.856215","0.507132","0.017064","-0.508084","-0.861138","0.994986","0.0935204","-0.0354622"
"8","151736297150311","10.0074","0.937714","-0.354431","0","0","0","0.0981052","-0.845481","0.524917","0.019205","-0.525754","-0.85042","0.994991","0.0935116","-0.0353418"
"8","151736313996014","10.0457","0.899399","-0.335281","0","0","0","0.0983422","-0.853476","0.51177","0.0177347","-0.512678","-0.858398","0.994995","0.0934928","-0.0352817"
