"id","time","accX","accY","accZ","gyroX","gyroY","gyroZ","rot1","rot2","rot3","rot4","rot5","rot6","rot7","rot8","rot9"
"1","384189804168","9.91159","0.784454","-2.74922","0","0","0","0.0872462","-0.992623","0.0841898","-0.267406","-0.104746","-0.957874","0.959626","0.061058","-0.274572"
"1","384199508758","9.91159","0.784454","-2.74922","0","0","0","0.0872462","-0.992623","0.0841898","-0.267406","-0.104746","-0.957874","0.959626","0.061058","-0.274572"
"1","384208694549","9.91159","0.784454","-2.74922","0","0","0","0.0872462","-0.992623","0.0841898","-0.267406","-0.104746","-0.957874","0.959626","0.061058","-0.274572"
"1","384224624725","9.85411","0.784454","-2.74922","0","0","0","0.0839409","-0.994926","0.0554635","-0.26779","-0.0761356","-0.960464","0.959814","0.0657696","-0.272822"
"1","384241378875","9.79663","0.803604","-2.65343","0","0","0","0.0839409","-0.994926","0.0554635","-0.26779","-0.0761356","-0.960464","0.959814","0.0657696","-0.272822"
"1","384258163543","9.79663","0.74614","-2.61511","0","0","0","0.0986406","-0.990697","0.0937539","-0.262649","-0.116792","-0.957797","0.959836","0.0698533","-0.271726"
"1","384274948211","9.83495","0.669495","-2.5768","0","0","0","0.0985943","-0.99135","0.0866313","-0.26149","-0.109806","-0.95894","0.960157","0.0718928","-0.270055"
"1","384291702362","9.85411","0.61203","-2.51932","0","0","0","0.102395","-0.989407","0.102907","-0.258459","-0.12636","-0.957722","0.96058","0.0714683","-0.268659"
"1","384308548065","9.73917","0.535385","-2.42352","0","0","0","0.107228","-0.98686","0.120868","-0.256491","-0.144911","-0.955622","0.96058","0.0714683","-0.268659"
"1","384325332733","9.73917","0.458755","-2.34689","0","0","0","0.102444","-0.989059","0.106149","-0.257068","-0.129409","-0.957689","0.960948","0.0708217","-0.267513"
"1","384342086883","9.77748","0.516235","-2.38521","0","0","0","0.0858658","-0.995089","0.0492361","-0.26128","-0.0701796","-0.962708","0.961436","0.0697993","-0.266023"
"1","384358810516","9.75832","0.573715","-2.46185","0","0","0","0.102762","-0.987672","0.118086","-0.252864","-0.140753","-0.957209","0.962029","0.0685053","-0.264211"
"1","384375656219","9.70084","0.669495","-2.44269","0","0","0","0.085902","-0.994573","0.0586929","-0.257291","-0.0790576","-0.963095","0.962508","0.0676306","-0.262686"
"1","384392440887","9.72","0.726974","-2.38521","0","0","0","0.0932566","-0.991646","0.089115","-0.253418","-0.110198","-0.96106","0.962851","0.0670418","-0.261578"
"1","384409256072","9.75832","0.707825","-2.36606","0","0","0","0.0920834","-0.992107","0.0851118","-0.252797","-0.105967","-0.961699","0.963127","0.0670405","-0.26056"
