"id","time","accX","accY","accZ","gyroX","gyroY","gyroZ","rot1","rot2","rot3","rot4","rot5","rot6","rot7","rot8","rot9"
"10","159988477462995","9.87326","0.382126","-2.17447","0","0","0","0","0","0","0","0","0","0","0","0"
"10","159988487564313","9.87326","0.401291","-2.13615","0","0","0","0","0","0","0","0","0","0","0","0"
"10","159988496780622","9.85411","0.382126","-2.07867","0","0","0","0.141919","-0.852459","0.503162","-0.159374","-0.521353","-0.838326","0.976964","0.0387837","-0.20985"
"10","159988512741315","9.83495","0.439606","-2.02121","0","0","0","0.143859","-0.845274","0.514603","-0.154963","-0.532839","-0.831907","0.97739","0.0399327","-0.207639"
"10","159988529495466","9.8158","0.439606","-2.02121","0","0","0","0.14695","-0.835554","0.529391","-0.151144","-0.547884","-0.822787","0.977528","0.0408945","-0.2068"
"10","159988546219098","9.79663","0.420441","-1.96373","0","0","0","0.149771","-0.824387","0.545852","-0.146928","-0.564506","-0.812247","0.977743","0.0414498","-0.205673"
"10","159988563034284","9.79663","0.49707","-1.96373","0","0","0","0.141729","-0.85352","0.501415","-0.15431","-0.519385","-0.840492","0.977804","0.041749","-0.205319"
"10","159988579818952","9.8158","0.49707","-1.98289","0","0","0","0.151041","-0.82047","0.551376","-0.144917","-0.570127","-0.808674","0.977847","0.0422395","-0.205013"
"10","159988596634138","9.85411","0.439606","-2.04036","0","0","0","0.154581","-0.80611","0.571219","-0.141135","-0.590256","-0.794782","0.977847","0.0422395","-0.205013"
"10","159988613388288","9.87326","0.401291","-2.04036","0","0","0","0.154683","-0.806337","0.57087","-0.14095","-0.589925","-0.79506","0.977858","0.0425177","-0.204905"
"10","159988630142438","9.79663","0.362961","-2.00204","0","0","0","0.148375","-0.830687","0.536605","-0.147264","-0.55512","-0.81863","0.977905","0.0424419","-0.204696"
"10","159988646988141","9.77748","0.420441","-1.96373","0","0","0","0.139091","-0.861885","0.487655","-0.155617","-0.505347","-0.848768","0.977976","0.0421682","-0.204413"
"10","159988663772809","9.79663","0.439606","-1.96373","0","0","0","0.152819","-0.810098","0.566028","-0.141509","-0.584791","-0.798746","0.97807","0.0419655","-0.204003"
"10","159988680557477","9.79663","0.420441","-2.00204","0","0","0","0.145842","-0.837106","0.527241","-0.148308","-0.545416","-0.82494","0.978128","0.0421171","-0.203694"
"10","159988697311628","9.83495","0.382126","-1.98289","0","0","0","0.143722","-0.844677","0.51562","-0.150196","-0.533612","-0.832286","0.978154","0.042174","-0.203559"
"10","159988714065778","9.83495","0.343811","-2.02121","0","0","0","0.143274","-0.845788","0.513921","-0.150452","-0.531857","-0.833362","0.97818","0.0420783","-0.203452"
"10","159988730880964","9.8158","0.362961","-2.02121","0","0","0","0.149776","-0.820458","0.551739","-0.143764","-0.570175","-0.808846","0.978212","0.0418252","-0.203351"
"10","159988747726667","9.83495","0.420441","-2.07867","0","0","0","0.148231","-0.825319","0.544863","-0.145247","-0.563143","-0.813494","0.978228","0.0414459","-0.20335"
"10","159988764450300","9.8158","0.439606","-2.09784","0","0","0","0.155197","-0.796448","0.584453","-0.137885","-0.603294","-0.785509","0.978214","0.0413213","-0.203447"
"10","159988781173932","9.8158","0.458755","-2.11699","0","0","0","0.151681","-0.813093","0.562025","-0.14231","-0.580644","-0.801623","0.978131","0.0416095","-0.203784"
"10","159988798050153","9.77748","0.439606","-2.05952","0","0","0","0.14886","-0.824328","0.54619","-0.145258","-0.564581","-0.812495","0.978131","0.0416095","-0.203784"
"10","159988814865339","9.73917","0.420441","-1.98289","0","0","0","0.14458","-0.841252","0.520954","-0.149802","-0.539026","-0.828861","0.978088","0.0417966","-0.203953"
"10","159988831619489","9.77748","0.362961","-2.05952","0","0","0","0.147721","-0.829974","0.537886","-0.146776","-0.556227","-0.817966","0.978077","0.0418824","-0.203987"
"10","159988848373639","9.85411","0.401291","-2.05952","0","0","0","0.150072","-0.820491","0.551609","-0.14449","-0.570138","-0.808743","0.97806","0.0416678","-0.204114"
"10","159988865127790","9.91159","0.439606","-2.11699","0","0","0","0.145399","-0.838026","0.525901","-0.149471","-0.544054","-0.825629","0.978017","0.0414385","-0.204366"
"10","159988881942975","9.89243","0.439606","-2.15532","0","0","0","0.146471","-0.834807","0.530701","-0.148862","-0.548979","-0.822473","0.97795","0.0414674","-0.20468"
"10","159988898788679","9.8158","0.401291","-2.07867","0","0","0","0.144694","-0.842593","0.518749","-0.151258","-0.536939","-0.82995","0.977847","0.0416243","-0.205141"
"10","159988915512311","9.77748","0.401291","-2.07867","0","0","0","0.149389","-0.82575","0.543893","-0.146887","-0.562496","-0.813648","0.977807","0.0416587","-0.205323"
"10","159988932296979","9.83495","0.401291","-2.04036","0","0","0","0.145723","-0.839361","0.523678","-0.150679","-0.541983","-0.826771","0.977783","0.0415722","-0.205454"
"10","159988949081647","9.85411","0.382126","-2.05952","0","0","0","0.151826","-0.815644","0.558277","-0.144385","-0.577068","-0.803832","0.977805","0.0414355","-0.205381"
"10","159988965896833","9.87326","0.382126","-2.07867","0","0","0","0.156642","-0.794928","0.586134","-0.139074","-0.6053","-0.783754","0.977815","0.0412533","-0.205369"
"10","159988982712018","9.8158","0.362961","-2.07867","0","0","0","0.150892","-0.818442","0.554422","-0.14579","-0.573135","-0.806388","0.977741","0.0408483","-0.205802"
"10","159988999466169","9.73917","0.420441","-2.04036","0","0","0","0.141833","-0.851491","0.504823","-0.154618","-0.522775","-0.838331","0.977741","0.0408483","-0.205802"
"10","159989016159284","9.79663","0.401291","-2.05952","0","0","0","0.14184","-0.851503","0.5048","-0.154784","-0.522762","-0.838309","0.977713","0.0407707","-0.205948"
"10","159989033004987","9.91159","0.362961","-2.2511","0","0","0","0.144296","-0.843026","0.518156","-0.15243","-0.536323","-0.830134","0.977724","0.0408027","-0.205892"
"10","159989049881208","9.93074","0.382126","-2.21278","0","0","0","0.152673","-0.812508","0.562602","-0.144871","-0.581526","-0.800525","0.977601","0.0407138","-0.206492"
"10","159989066604841","9.85411","0.420441","-2.23195","0","0","0","0.1454","-0.840684","0.521642","-0.153107","-0.540013","-0.827614","0.977454","0.0404684","-0.207233"
"10","159989083358991","9.73917","0.458755","-2.15532","0","0","0","0.151371","-0.819363","0.55293","-0.147943","-0.571854","-0.806905","0.977343","0.0403395","-0.207781"
"10","159989100143659","9.8158","0.477921","-2.17447","0","0","0","0.142196","-0.854008","0.50045","-0.157712","-0.518676","-0.840299","0.977194","0.0405603","-0.208441"
"10","159989116928327","9.85411","0.439606","-2.17447","0","0","0","0.144719","-0.8473","0.511017","-0.156216","-0.529542","-0.833776","0.977064","0.0408344","-0.208996"
"10","159989133743513","9.8158","0.401291","-2.13615","0","0","0","0.145036","-0.847789","0.510117","-0.15678","-0.528746","-0.834174","0.976926","0.041009","-0.209604"
"10","159989150528180","9.73917","0.420441","-2.09784","0","0","0","0.150872","-0.827938","0.540144","-0.151687","-0.559317","-0.814958","0.976846","0.0410217","-0.209973"
"10","159989167282331","9.77748","0.477921","-2.19363","0","0","0","0.153205","-0.819609","0.55206","-0.149634","-0.571454","-0.806877","0.9768","0.0410107","-0.210191"
