"id","time","accX","accY","accZ","gyroX","gyroY","gyroZ","rot1","rot2","rot3","rot4","rot5","rot6","rot7","rot8","rot9"
"7","81705901748142","9.89243","0.55455","1.48476","0","0","0","0.000387593","-0.937004","0.349319","0.15745","-0.344905","-0.925338","0.987527","0.0553588","0.147397"
"7","81705911727390","9.89243","0.55455","1.48476","0","0","0","0.000387593","-0.937004","0.349319","0.15745","-0.344905","-0.925338","0.987527","0.0553588","0.147397"
"7","81705928542575","9.85411","0.55455","1.69551","0","0","0","-0.00216889","-0.936382","0.350976","0.163488","-0.346586","-0.923661","0.986543","0.0553768","0.153839"
"7","81705945266208","9.83495","0.573715","1.71466","0","0","0","-0.00738007","-0.928387","0.371542","0.168014","-0.367421","-0.914753","0.985757","0.0556735","0.158694"
"7","81705962111911","9.83495","0.573715","1.65718","0","0","0","-0.0187052","-0.90285","0.429548","0.168777","-0.426309","-0.888693","0.985477","0.0558744","0.160354"
"7","81705978866062","9.85411","0.55455","1.67635","0","0","0","-0.00786611","-0.928281","0.371796","0.169628","-0.367657","-0.91436","0.985477","0.0558744","0.160354"
"7","81705995650730","9.85411","0.55455","1.67635","0","0","0","-0.00799213","-0.928194","0.372011","0.169807","-0.36788","-0.914237","0.985445","0.0558634","0.160554"
"7","81706012374362","9.83495","0.535385","1.67635","0","0","0","-0.0196094","-0.901476","0.432384","0.169351","-0.429213","-0.887184","0.985361","0.0558276","0.161083"
"7","81706029220066","9.83495","0.535385","1.65718","0","0","0","-0.00863447","-0.927307","0.374202","0.170264","-0.370115","-0.91325","0.985361","0.0558276","0.161083"
"7","81706046065769","9.85411","0.516235","1.63803","0","0","0","-0.0115515","-0.92138","0.388491","0.17036","-0.38465","-0.907206","0.985314","0.0557037","0.16141"
"7","81706062819919","9.85411","0.535385","1.59972","0","0","0","-0.0189712","-0.904429","0.426201","0.169794","-0.423","-0.890079","0.985297","0.0554808","0.161592"
"7","81706079574070","9.87326","0.55455","1.65718","0","0","0","-0.0175987","-0.908278","0.417998","0.169956","-0.414696","-0.893947","0.985294","0.0553091","0.161666"
"7","81706096328220","9.87326","0.55455","1.65718","0","0","0","-0.00038641","-0.945432","0.325818","0.171011","-0.321081","-0.931484","0.985269","0.0553587","0.161804"
"7","81706113204441","9.8158","0.535385","1.69551","0","0","0","-0.00942163","-0.927137","0.374603","0.170731","-0.37061","-0.912962","0.985273","0.0553548","0.161783"
"7","81706129958591","9.85411","0.516235","1.69551","0","0","0","-0.0142057","-0.916725","0.399267","0.170522","-0.395679","-0.902419","0.985251","0.0552642","0.161942"
"7","81706146743259","9.91159","0.535385","1.69551","0","0","0","-0.0210447","-0.900772","0.433782","0.169948","-0.430787","-0.886307","0.985228","0.0550685","0.162151"
"7","81706163527927","9.89243","0.49707","1.59972","0","0","0","-0.00827795","-0.930984","0.364966","0.171238","-0.360907","-0.916746","0.985195","0.0549072","0.162407"
"7","81706180282077","9.89243","0.439606","1.5614","0","0","0","-0.017458","-0.910698","0.412703","0.170387","-0.409438","-0.896286","0.985223","0.0546719","0.162319"
"7","81706197127780","9.87326","0.439606","1.5614","0","0","0","-0.0178083","-0.91089","0.412265","0.169938","-0.409088","-0.896531","0.985294","0.0540939","0.16208"
"7","81706213912448","9.83495","0.49707","1.50392","0","0","0","-0.0204725","-0.905338","0.424199","0.169197","-0.421305","-0.890996","0.98537","0.0535321","0.161805"
"7","81706230727634","9.87326","0.535385","1.52307","0","0","0","-0.0123726","-0.924719","0.380448","0.16958","-0.376906","-0.910596","0.985439","0.0532499","0.161477"
"7","81706247390232","9.91159","0.535385","1.52307","0","0","0","-0.0120526","-0.924942","0.379917","0.169079","-0.376359","-0.910915","0.985529","0.0532573","0.160925"
"7","81706264205417","9.87326","0.573715","1.58055","0","0","0","-0.00883353","-0.930609","0.365908","0.168278","-0.362087","-0.916829","0.9857","0.0534755","0.1598"
"7","81706281234226","9.89243","0.55455","1.54224","0","0","0","-0.0227444","-0.89646","0.44254","0.166565","-0.439866","-0.882482","0.985768","0.0536403","0.159324"
"7","81706297835788","9.89243","0.49707","1.52307","0","0","0","-0.0170112","-0.910788","0.412524","0.166785","-0.409388","-0.896986","0.985846","0.0535442","0.15887"
"7","81706314589939","9.85411","0.49707","1.54224","0","0","0","-0.0105966","-0.926069","0.377205","0.166883","-0.373574","-0.912465","0.98592","0.0532803","0.158504"
"7","81706331435642","9.85411","0.535385","1.52307","0","0","0","-0.0258877","-0.887726","0.459645","0.16491","-0.457292","-0.873893","0.985969","0.0531771","0.158233"
"7","81706348159275","9.87326","0.573715","1.48476","0","0","0","-0.0224488","-0.896159","0.443165","0.165071","-0.440515","-0.882439","0.986026","0.0533442","0.157819"
"7","81706364974460","9.8158","0.573715","1.50392","0","0","0","-0.0234881","-0.89218","0.451069","0.164519","-0.448492","-0.878515","0.986094","0.053575","0.157315"
"7","81706381728611","9.70084","0.535385","1.54224","0","0","0","-0.0229333","-0.892887","0.449697","0.164329","-0.447064","-0.879278","0.986139","0.0537334","0.15698"
